transcript_id	counts
ENST00000506893.1|ENSG00000112992.18|OTTHUMG00000096961.14|OTTHUMT00000367969.1|NNT-206|NNT|367|retained_intron|	8
ENST00000513390.1|ENSG00000112992.18|OTTHUMG00000096961.14|OTTHUMT00000367967.1|NNT-209|NNT|664|retained_intron|	22
ENST00000511617.5|ENSG00000164294.14|OTTHUMG00000162601.3|OTTHUMT00000369721.1|GPX8-206|GPX8|425|protein_coding_CDS_not_defined|	52
ENST00000503787.6|ENSG00000164294.14|OTTHUMG00000162601.3|OTTHUMT00000369717.2|GPX8-203|GPX8|3731|protein_coding|	27
ENST00000502733.1|ENSG00000164294.14|OTTHUMG00000162601.3|OTTHUMT00000369723.1|GPX8-202|GPX8|349|protein_coding_CDS_not_defined|	17
ENST00000514317.1|ENSG00000164294.14|OTTHUMG00000162601.3|OTTHUMT00000369722.1|GPX8-207|GPX8|577|protein_coding_CDS_not_defined|	52
ENST00000505096.1|ENSG00000164294.14|OTTHUMG00000162601.3|OTTHUMT00000369724.1|GPX8-204|GPX8|426|retained_intron|	10
ENST00000698639.1|ENSG00000134352.21|OTTHUMG00000097043.14|-|IL6ST-215|IL6ST|7355|protein_coding|	15
ENST00000698644.1|ENSG00000134352.21|OTTHUMG00000097043.14|-|IL6ST-220|IL6ST|7253|protein_coding|	3
ENST00000523039.5|ENSG00000134352.21|OTTHUMG00000097043.14|OTTHUMT00000374435.1|IL6ST-210|IL6ST|481|retained_intron|	18
ENST00000583149.1|ENSG00000134352.21|OTTHUMG00000097043.14|OTTHUMT00000443711.1|IL6ST-212|IL6ST|479|retained_intron|	10
ENST00000381293.6|ENSG00000134352.21|OTTHUMG00000097043.14|OTTHUMT00000368494.2|IL6ST-202|IL6ST|612|protein_coding|	16
ENST00000693349.1|ENSG00000287709.3|OTTHUMG00000194175.1|-|ENST00000693349|ENSG00000287709|2177|lncRNA|	11
ENST00000688166.1|ENSG00000287709.3|OTTHUMG00000194175.1|-|ENST00000688166|ENSG00000287709|1184|lncRNA|	82
ENST00000678452.1|ENSG00000164182.12|OTTHUMG00000131221.4|-|NDUFAF2-207|NDUFAF2|2211|nonsense_mediated_decay|	71
ENST00000296597.10|ENSG00000164182.12|OTTHUMG00000131221.4|OTTHUMT00000253965.3|NDUFAF2-201|NDUFAF2|632|protein_coding|	7
ENST00000512623.1|ENSG00000164182.12|OTTHUMG00000131221.4|OTTHUMT00000368137.1|NDUFAF2-204|NDUFAF2|696|protein_coding_CDS_not_defined|	29
ENST00000380822.9|ENSG00000085231.14|OTTHUMG00000187252.3|OTTHUMT00000216793.2|AK6-202|AK6|1626|protein_coding|	14
ENST00000502819.5|ENSG00000085231.14|OTTHUMG00000187252.3|OTTHUMT00000369189.2|AK6-203|AK6|743|protein_coding|	38
ENST00000512561.5|ENSG00000085231.14|OTTHUMG00000187252.3|OTTHUMT00000369190.1|AK6-204|AK6|587|protein_coding|	17
ENST00000618980.1|ENSG00000085231.14|OTTHUMG00000187252.3|OTTHUMT00000474396.1|AK6-205|AK6|483|protein_coding|	29
ENST00000335895.12|ENSG00000145741.17|OTTHUMG00000102031.6|OTTHUMT00000219815.2|BTF3-201|BTF3|897|protein_coding|	12
ENST00000512257.1|ENSG00000145741.17|OTTHUMG00000102031.6|OTTHUMT00000369157.2|BTF3-207|BTF3|887|retained_intron|	14
ENST00000678135.1|ENSG00000145741.17|OTTHUMG00000102031.6|OTTHUMT00000369847.2|BTF3-213|BTF3|740|protein_coding|	32
ENST00000514360.5|ENSG00000145741.17|OTTHUMG00000102031.6|OTTHUMT00000369845.1|BTF3-208|BTF3|1177|retained_intron|	30
ENST00000380591.8|ENSG00000145741.17|OTTHUMG00000102031.6|OTTHUMT00000219816.1|BTF3-202|BTF3|1276|protein_coding|	16
ENST00000679077.1|ENSG00000145741.17|OTTHUMG00000102031.6|OTTHUMT00000369159.1|BTF3-214|BTF3|2165|retained_intron|	10
ENST00000510787.6|ENSG00000145741.17|OTTHUMG00000102031.6|-|BTF3-206|BTF3|2959|retained_intron|	11
ENST00000509708.2|ENSG00000145741.17|OTTHUMG00000102031.6|OTTHUMT00000369160.3|BTF3-205|BTF3|515|protein_coding|	30
ENST00000296805.8|ENSG00000164347.18|OTTHUMG00000102058.6|OTTHUMT00000219860.3|GFM2-201|GFM2|2993|protein_coding|	11
ENST00000509430.5|ENSG00000164347.18|OTTHUMG00000102058.6|OTTHUMT00000371111.1|GFM2-207|GFM2|3047|protein_coding|	7
ENST00000515125.5|ENSG00000164347.18|OTTHUMG00000102058.6|OTTHUMT00000371118.1|GFM2-210|GFM2|1125|protein_coding_CDS_not_defined|	6
ENST00000506263.1|ENSG00000164347.18|OTTHUMG00000102058.6|OTTHUMT00000371116.1|GFM2-204|GFM2|506|retained_intron|	23
ENST00000513331.1|ENSG00000164347.18|OTTHUMG00000102058.6|OTTHUMT00000371121.1|GFM2-208|GFM2|469|retained_intron|	14
ENST00000509097.1|ENSG00000164347.18|OTTHUMG00000102058.6|OTTHUMT00000371112.2|GFM2-206|GFM2|1004|protein_coding|	6
ENST00000506778.1|ENSG00000164347.18|OTTHUMG00000102058.6|OTTHUMT00000371122.2|GFM2-205|GFM2|566|protein_coding|	9
ENST00000396027.9|ENSG00000152422.16|OTTHUMG00000131319.4|OTTHUMT00000254089.2|XRCC4-203|XRCC4|1602|protein_coding|	7
ENST00000511817.1|ENSG00000152422.16|OTTHUMG00000131319.4|OTTHUMT00000369624.1|XRCC4-205|XRCC4|1636|protein_coding|	28
ENST00000509268.1|ENSG00000152422.16|OTTHUMG00000131319.4|OTTHUMT00000369626.1|XRCC4-204|XRCC4|1567|protein_coding_CDS_not_defined|	43
ENST00000505712.5|ENSG00000248555.7|OTTHUMG00000162621.11|OTTHUMT00000369772.2|LINC01339-201|LINC01339|440|lncRNA|	21
ENST00000524094.2|ENSG00000248555.7|OTTHUMG00000162621.11|OTTHUMT00000378002.2|LINC01339-204|LINC01339|542|retained_intron|	28
ENST00000664570.1|ENSG00000248555.7|OTTHUMG00000162621.11|OTTHUMT00000509274.1|LINC01339-207|LINC01339|453|lncRNA|	19
ENST00000660853.1|ENSG00000248555.7|OTTHUMG00000162621.11|OTTHUMT00000506694.1|LINC01339-206|LINC01339|467|lncRNA|	18
ENST00000399004.7|ENSG00000145723.17|OTTHUMG00000162811.4|OTTHUMT00000370478.4|GIN1-201|GIN1|3549|protein_coding|	30
ENST00000507478.1|ENSG00000145723.17|OTTHUMG00000162811.4|OTTHUMT00000370484.1|GIN1-202|GIN1|462|protein_coding_CDS_not_defined|	12
ENST00000513747.1|ENSG00000145723.17|OTTHUMG00000162811.4|OTTHUMT00000370483.1|GIN1-207|GIN1|525|nonsense_mediated_decay|	36
ENST00000511400.1|ENSG00000145723.17|OTTHUMG00000162811.4|OTTHUMT00000370482.1|GIN1-204|GIN1|549|protein_coding_CDS_not_defined|	18
ENST00000513603.1|ENSG00000145723.17|OTTHUMG00000162811.4|OTTHUMT00000370481.1|GIN1-206|GIN1|567|retained_intron|	12
ENST00000504275.1|ENSG00000145725.21|OTTHUMG00000181461.4|OTTHUMT00000456132.2|PPIP5K2-206|PPIP5K2|479|nonsense_mediated_decay|	12
ENST00000510672.1|ENSG00000145725.21|OTTHUMG00000181461.4|OTTHUMT00000456142.1|PPIP5K2-211|PPIP5K2|719|retained_intron|	31
ENST00000379638.9|ENSG00000129625.13|OTTHUMG00000128807.7|OTTHUMT00000250739.4|REEP5-202|REEP5|3008|protein_coding|	26
ENST00000513339.5|ENSG00000129625.13|OTTHUMG00000128807.7|OTTHUMT00000370775.2|REEP5-207|REEP5|1139|protein_coding|	18
ENST00000474542.2|ENSG00000129625.13|OTTHUMG00000128807.7|OTTHUMT00000313786.1|REEP5-203|REEP5|650|protein_coding_CDS_not_defined|	60
ENST00000504247.1|ENSG00000129625.13|OTTHUMG00000128807.7|OTTHUMT00000370776.2|REEP5-205|REEP5|480|protein_coding|	19
ENST00000297540.5|ENSG00000164902.14|OTTHUMG00000163273.2|OTTHUMT00000250924.2|PHAX-201|PHAX|3609|protein_coding|	43
ENST00000505674.5|ENSG00000164902.14|OTTHUMG00000163273.2|OTTHUMT00000371427.1|PHAX-202|PHAX|828|retained_intron|	41
ENST00000511371.1|ENSG00000164902.14|OTTHUMG00000163273.2|OTTHUMT00000372433.1|PHAX-203|PHAX|847|retained_intron|	42
ENST00000513813.1|ENSG00000164902.14|OTTHUMG00000163273.2|OTTHUMT00000371428.1|PHAX-204|PHAX|1003|retained_intron|	10
ENST00000502840.5|ENSG00000158985.14|OTTHUMG00000162692.2|OTTHUMT00000370105.1|CDC42SE2-205|CDC42SE2|539|protein_coding_CDS_not_defined|	12
ENST00000511432.5|ENSG00000158985.14|OTTHUMG00000162692.2|OTTHUMT00000370106.1|CDC42SE2-211|CDC42SE2|286|protein_coding_CDS_not_defined|	21
ENST00000515533.1|ENSG00000158985.14|OTTHUMG00000162692.2|OTTHUMT00000370107.1|CDC42SE2-212|CDC42SE2|566|protein_coding_CDS_not_defined|	13
ENST00000395246.5|ENSG00000158985.14|OTTHUMG00000162692.2|-|CDC42SE2-202|CDC42SE2|3485|protein_coding|	11
ENST00000504701.5|ENSG00000158985.14|OTTHUMG00000162692.2|OTTHUMT00000370109.1|CDC42SE2-207|CDC42SE2|567|protein_coding_CDS_not_defined|	35
ENST00000360515.7|ENSG00000158985.14|OTTHUMG00000162692.2|OTTHUMT00000370101.2|CDC42SE2-201|CDC42SE2|3591|protein_coding|	15
ENST00000502582.1|ENSG00000158985.14|OTTHUMG00000162692.2|OTTHUMT00000370110.1|CDC42SE2-203|CDC42SE2|277|protein_coding|	21
ENST00000621103.4|ENSG00000233006.8|OTTHUMG00000059646.6|OTTHUMT00000132650.2|MIR3936HG-204|MIR3936HG|1793|lncRNA|	21
ENST00000649993.1|ENSG00000233006.8|OTTHUMG00000059646.6|OTTHUMT00000498859.1|MIR3936HG-205|MIR3936HG|838|lncRNA|	54
ENST00000668364.1|ENSG00000233006.8|OTTHUMG00000059646.6|OTTHUMT00000525643.1|MIR3936HG-207|MIR3936HG|1234|lncRNA|	17
ENST00000457998.2|ENSG00000233006.8|OTTHUMG00000059646.6|OTTHUMT00000467779.1|MIR3936HG-202|MIR3936HG|733|lncRNA|	7
ENST00000498309.1|ENSG00000164405.11|OTTHUMG00000059836.3|OTTHUMT00000133042.1|UQCRQ-206|UQCRQ|874|retained_intron|	15
ENST00000496429.1|ENSG00000164405.11|OTTHUMG00000059836.3|OTTHUMT00000133043.1|UQCRQ-205|UQCRQ|258|protein_coding_CDS_not_defined|	66
ENST00000378670.8|ENSG00000164405.11|OTTHUMG00000059836.3|OTTHUMT00000133040.2|UQCRQ-203|UQCRQ|1573|protein_coding|	13
ENST00000378665.1|ENSG00000164405.11|OTTHUMG00000059836.3|OTTHUMT00000133044.1|UQCRQ-201|UQCRQ|586|protein_coding|	42
ENST00000265342.12|ENSG00000053108.18|OTTHUMG00000162729.4|OTTHUMT00000370212.3|FSTL4-201|FSTL4|5396|protein_coding|	23
ENST00000509525.5|ENSG00000053108.18|OTTHUMG00000162729.4|OTTHUMT00000370213.2|FSTL4-203|FSTL4|2374|retained_intron|	8
ENST00000511375.1|ENSG00000053108.18|OTTHUMG00000162729.4|OTTHUMT00000370218.1|FSTL4-205|FSTL4|571|protein_coding_CDS_not_defined|	18
ENST00000514998.1|ENSG00000053108.18|OTTHUMG00000162729.4|OTTHUMT00000370216.1|FSTL4-206|FSTL4|488|protein_coding_CDS_not_defined|	31
ENST00000510685.1|ENSG00000053108.18|OTTHUMG00000162729.4|OTTHUMT00000370215.2|FSTL4-204|FSTL4|716|protein_coding|	22
ENST00000506757.7|ENSG00000113073.15|OTTHUMG00000163352.4|OTTHUMT00000372822.4|SLC4A9-204|SLC4A9|3283|protein_coding|	13
ENST00000506545.5|ENSG00000113073.15|OTTHUMG00000163352.4|OTTHUMT00000372824.1|SLC4A9-203|SLC4A9|2838|protein_coding|	25
ENST00000507527.1|ENSG00000113073.15|OTTHUMG00000163352.4|OTTHUMT00000372823.1|SLC4A9-205|SLC4A9|3258|protein_coding|	62
ENST00000514849.1|ENSG00000113073.15|OTTHUMG00000163352.4|OTTHUMT00000372827.1|SLC4A9-206|SLC4A9|589|retained_intron|	6
ENST00000655828.1|ENSG00000236714.3|OTTHUMG00000059704.26|OTTHUMT00000515674.1|LINC01844-206|LINC01844|2855|lncRNA|	20
ENST00000664609.1|ENSG00000236714.3|OTTHUMG00000059704.26|OTTHUMT00000507228.1|LINC01844-216|LINC01844|869|lncRNA|	11
ENST00000658433.1|ENSG00000236714.3|OTTHUMG00000059704.26|OTTHUMT00000507151.1|LINC01844-208|LINC01844|2360|lncRNA|	2
ENST00000659596.1|ENSG00000236714.3|OTTHUMG00000059704.26|OTTHUMT00000506481.1|LINC01844-211|LINC01844|759|lncRNA|	42
ENST00000659959.1|ENSG00000236714.3|OTTHUMG00000059704.26|OTTHUMT00000508104.1|LINC01844-212|LINC01844|1326|lncRNA|	21
ENST00000668371.1|ENSG00000236714.3|OTTHUMG00000059704.26|OTTHUMT00000515206.1|LINC01844-223|LINC01844|1876|lncRNA|	3
ENST00000645722.2|ENSG00000145819.18|OTTHUMG00000059705.15|OTTHUMT00000143807.5|ARHGAP26-222|ARHGAP26|9226|protein_coding|	13
