transcript_id	counts	Gene
ENST00000358757.5	183	ENSG00000258677.2
ENST00000642138.1	80	ENSG00000284677.1
ENST00000447497.1	129	ENSG00000237339.5
ENST00000590411.5	11	ENSG00000204920.11
ENST00000370763.6	37	ENSG00000162616.9
ENST00000666279.1	18	ENSG00000259072.2
ENST00000565064.1	174	ENSG00000260228.6
ENST00000364659.1	126	ENSG00000201529.1
ENST00000439576.7	13	ENSG00000157766.19
ENST00000568714.2	69	ENSG00000260983.2
ENST00000357763.8	11	ENSG00000257017.10
ENST00000558713.6	6	ENSG00000249961.10
ENST00000411362.1	79	ENSG00000223294.1
ENST00000550834.1	15	ENSG00000174243.11
ENST00000610038.5	16	ENSG00000142396.11
ENST00000339223.5	77	ENSG00000187474.5
ENST00000648065.1	7	ENSG00000277654.6
ENST00000582055.1	5	ENSG00000136490.9
ENST00000664821.1	10	ENSG00000261780.3
ENST00000478778.1	94	ENSG00000239528.1
ENST00000418733.1	218	ENSG00000234941.1
ENST00000640343.2	19	ENSG00000084093.19
ENST00000586037.5	35	ENSG00000186566.13
ENST00000670545.1	170	ENSG00000286889.1
ENST00000390624.3	85	ENSG00000211964.3
ENST00000457034.1	22	ENSG00000065665.21
ENST00000420550.1	81	ENSG00000227621.1
ENST00000362578.1	40	ENSG00000199448.1
ENST00000393907.2	263	ENSG00000213403.2
ENST00000668820.1	77	ENSG00000286465.1
ENST00000312431.10	16	ENSG00000151914.22
ENST00000606915.1	86	ENSG00000268592.3
ENST00000587552.5	4	ENSG00000196365.12
ENST00000356133.3	18	ENSG00000198491.3
ENST00000606010.1	114	ENSG00000272249.1
ENST00000538582.5	15	ENSG00000121350.16
ENST00000364102.1	171	ENSG00000200972.1
ENST00000564138.6	1412	ENSG00000197943.12
ENST00000368423.5	55	ENSG00000163354.15
ENST00000659583.1	27	ENSG00000231253.2
ENST00000467780.5	9	ENSG00000204314.12
ENST00000579952.1	174	ENSG00000264054.1
ENST00000465635.5	24	ENSG00000054523.20
ENST00000511982.1	10	ENSG00000168685.15
ENST00000344692.7	40	ENSG00000250571.7
ENST00000362666.1	154	ENSG00000199536.1
ENST00000443652.1	42	ENSG00000233340.1
ENST00000400943.3	54	ENSG00000215805.3
ENST00000534346.5	3	ENSG00000141540.11
ENST00000558356.1	48	ENSG00000259247.1
ENST00000472527.1	19	ENSG00000135912.11
ENST00000408677.1	119	ENSG00000221604.1
ENST00000453135.2	41	ENSG00000235643.2
ENST00000697133.1	3	ENSG00000147065.18
ENST00000662352.3	54	ENSG00000174326.15
ENST00000297157.8	23	ENSG00000164610.10
ENST00000566634.5	38	ENSG00000140400.18
ENST00000457337.1	152	ENSG00000228030.2
ENST00000678275.1	70	ENSG00000143387.14
ENST00000485419.7	2	ENSG00000283154.3
ENST00000373208.5	81	ENSG00000138316.11
ENST00000496805.5	24	ENSG00000162517.13
ENST00000382936.8	20	ENSG00000168936.11
ENST00000394066.6	8	ENSG00000174996.12
ENST00000479912.3	128	ENSG00000242998.3
ENST00000531893.1	63	ENSG00000255285.1
ENST00000521569.1	57	ENSG00000113140.11
ENST00000587318.5	10	ENSG00000104915.15
ENST00000340135.3	132	ENSG00000189332.5
ENST00000665427.1	49	ENSG00000287696.1
ENST00000661795.1	6	ENSG00000203999.10
ENST00000557070.1	130	ENSG00000258859.1
ENST00000440331.1	129	ENSG00000233278.1
ENST00000379426.2	36	ENSG00000205269.6
ENST00000369327.7	14	ENSG00000135341.19
ENST00000579553.1	154	ENSG00000264574.1
ENST00000449613.1	86	ENSG00000226238.1
ENST00000534534.5	32	ENSG00000110075.15
ENST00000569505.5	9	ENSG00000103168.17
ENST00000519534.1	7	ENSG00000168802.14
ENST00000504247.1	19	ENSG00000129625.13
ENST00000576302.1	148	ENSG00000262211.1
ENST00000369325.7	5	ENSG00000135341.19
ENST00000458578.6	66	ENSG00000185651.16
ENST00000650908.1	84	ENSG00000250814.3
ENST00000691675.1	131	ENSG00000289312.1
ENST00000586913.1	15	ENSG00000132005.9
ENST00000578775.2	30	ENSG00000169660.17
ENST00000420082.1	197	ENSG00000230096.1
ENST00000454085.2	78	ENSG00000228992.2
ENST00000470623.2	58	ENSG00000242423.2
ENST00000671344.1	62	ENSG00000232812.2
ENST00000442959.5	32	ENSG00000198874.14
ENST00000475149.1	164	ENSG00000243855.1
ENST00000520762.1	55	ENSG00000253787.1
ENST00000470175.1	37	ENSG00000146463.12
ENST00000508643.1	249	ENSG00000251348.1
ENST00000568648.1	64	ENSG00000261291.1
ENST00000373941.5	55	ENSG00000088367.23
ENST00000517604.1	207	ENSG00000253302.1
ENST00000698330.1	10	ENSG00000118503.17
ENST00000418772.1	25	ENSG00000065665.21
ENST00000664866.1	16	ENSG00000233321.4
ENST00000656962.1	7	ENSG00000223855.4
ENST00000491318.5	15	ENSG00000243989.9
ENST00000246080.4	101	ENSG00000125878.7
ENST00000577431.1	17	ENSG00000082641.16
ENST00000538830.1	283	ENSG00000256987.1
ENST00000432559.2	111	ENSG00000228229.2
ENST00000654007.1	166	ENSG00000287291.1
ENST00000514217.5	26	ENSG00000168685.15
ENST00000581047.2	388	ENSG00000266166.2
ENST00000253055.8	11	ENSG00000130758.8
ENST00000505002.1	44	ENSG00000248876.1
ENST00000637427.1	78	ENSG00000283375.1
ENST00000430094.1	11	ENSG00000235142.12
ENST00000663324.1	19	ENSG00000247708.8
ENST00000665298.1	205	ENSG00000286478.1
ENST00000610636.1	153	ENSG00000274621.1
ENST00000468019.5	3	ENSG00000148303.17
ENST00000403144.2	110	ENSG00000220505.2
ENST00000478062.2	22	ENSG00000167165.19
ENST00000700352.1	18	ENSG00000160223.18
ENST00000397912.3	102	ENSG00000128563.13
ENST00000415117.1	151	ENSG00000236187.1
ENST00000384993.3	27	ENSG00000207726.3
ENST00000329342.10	15	ENSG00000197172.11
